,0,1,2,3,4
1157,Gulf of Maine Research Institute,96,4,90.41,4
1158,Acadia Center,100,4,100.0,4
1159,Mitchell Institute,96,4,95.64,4
1160,Safe Passage,100,4,77.54,2
1161,United Way of Kennebec Valley,97,4,93.5,4
1162,United Way of Mid Coast Maine,100,4,83.89,3
1163,Bigelow Laboratory for Ocean Sciences,100,4,85.87,3
1164,Greater Androscoggin Humane Society,66,1,87.16,3
1165,Bay Chamber Concerts,85,3,88.49,3
1166,World Jewish Congress - American Section,97,4,95.18,4
1167,Common Dreams,59,1,95.0,4
1168,Maine Justice Foundation,93,4,90.87,4
1169,"Camp Sunshine, Maine",100,4,100.0,4
1170,Island Institute,100,4,71.78,2
1171,Good Shepherd Food Bank of Maine,100,4,93.56,4
1172,Maine Public,100,4,92.4,4
1173,Immigrant Legal Advocacy Project,100,4,88.72,3
1174,Animal Welfare Society,100,4,90.72,4
1175,Maine Center for Coastal Fisheries,78,2,86.32,3
1176,LifeFlight Foundation,85,3,80.74,3
1177,Catholic Foundation of Maine,73,2,79.81,2
1178,National Federation of the Blind,97,4,86.42,3
1179,Chesapeake Shakespeare Company,85,3,89.07,3
1180,National Foundation for Cancer Research,97,4,77.68,2
1181,Wild Earth Allies,100,4,86.58,3
1182,Planet Aid,93,4,74.97,2
1183,The Humane League,86,3,90.6,4
1184,Sjögren's Syndrome Foundation,96,4,85.32,3
1185,Fisher House Foundation,100,4,97.5,4
1186,Chesapeake Climate Action Network,96,4,80.71,3
1187,"NAACP Empowerment Programs, Inc.",89,3,74.74,2
1188,Association on American Indian Affairs,92,4,73.71,2
1189,American Nurses Foundation,92,4,89.5,3
1190,Cystic Fibrosis Foundation,100,4,97.47,4
1191,Lutheran World Relief,97,4,84.29,3
1192,Veterans Support Foundation,89,3,0.0,0
1193,Catholic Relief Services,90,4,87.5,3
1194,HIAS,97,4,82.51,3
1195,Humanity First USA,81,3,97.5,4
1196,Operation Second Chance,100,4,100.0,4
1197,Bladder Cancer Advocacy Network,96,4,94.24,4
1198,Animals' Angels,85,3,79.68,2
1199,AOPA Foundation,96,4,74.4,2
1200,ImpactIsrael,97,4,100.0,4
1201,Institute for the Analysis of Global Security,55,1,65.3,1
1202,SAT 7 North America,100,4,78.91,2
1203,World Relief,100,4,79.31,2
1204,Chesapeake Bay Maritime Museum,100,4,96.13,4
1205,Osteogenesis Imperfecta Foundation,96,4,82.43,3
1206,Special Olympics Maryland,96,4,79.16,2
1207,American Kidney Fund,97,4,87.57,3
1208,Foundation Fighting Blindness,96,4,80.6,3
1209,Baltimore Community Foundation,93,4,80.23,3
1210,National Foundation for Infectious Diseases,93,4,92.23,4
1211,ACLU Foundation of Maryland,96,4,96.7,4
1212,Boys & Girls Club of Washington County,81,3,90.72,4
1213,BrightFocus Foundation,97,4,78.64,2
1214,International Orthodox Christian Charities,100,4,82.5,3
1215,Disabled Veterans National Foundation,90,4,0.0,0
1216,Chesapeake Conservancy,97,4,95.58,4
1217,Harwood Institute for Public Innovation,89,3,60.85,1
1218,WYPR,100,4,85.34,3
1219,Strategic Resource Group,78,2,92.5,4
1220,National History Day,85,3,77.57,2
1221,Izaak Walton League of America,97,4,85.37,3
1222,National 4-H Council,100,4,85.96,3
1223,Yellow Ribbon Fund,100,4,86.5,3
1224,Metavivor,100,4,92.5,4
1225,International Youth Foundation,97,4,86.36,3
1226,Foundation Fighting Blindness Clinical Research Institute,96,4,80.6,3
1227,Warrior Canine Connection,97,4,99.85,4
1228,Child Rights And You America,81,3,77.53,2
1229,New Economy Coalition,66,1,74.51,2
1230,Ibis Reproductive Health,88,3,99.88,4
1231,Nativity School of Worcester,89,3,84.07,3
1232,Worcester Art Museum,85,3,88.83,3
1233,Worcester County Horticultural Society,92,4,84.2,3
1234,New England Forestry Foundation,97,4,81.31,3
1235,DeCordova Sculpture Park and Museum,89,3,72.77,2
1236,Big Brothers Big Sisters of Massachusetts Bay,100,4,81.72,3
1237,YWCA Boston,100,4,69.95,1
1238,Boston Symphony Orchestra,89,3,89.93,3
1239,YMCA of Greater Boston,90,4,84.11,3
1240,Combined Jewish Philanthropies,97,4,100.0,4
1241,MSPCA-Angell,97,4,87.34,3
1242,"Museum of Fine Arts, Boston",70,2,83.65,3
1243,Perkins School for the Blind,89,3,81.82,3
1244,American Academy of Arts and Sciences,96,4,82.18,3
1245,Animal Rescue League of Boston,100,4,90.59,4
1246,Athol Area YMCA,78,2,98.99,4
1247,Berkshire Museum,89,3,80.11,3
1248,Greater Boston Legal Services,89,3,91.18,4
1249,Museum of Science,93,4,87.7,3
1250,Boys & Girls Clubs of Boston,97,4,90.27,4
1251,Boys & Girls Club of Fall River,81,3,96.56,4
1252,Boys & Girls Club of Lynn,85,3,94.2,4
1253,Waltham Boys and Girls Club,89,3,95.52,4
1254,United Way of Greater Plymouth County,89,3,82.43,3
1255,Boston Children's Museum,100,4,85.86,3
1256,Clarke Schools for Hearing and Speech,89,3,77.99,2
1257,United Way of Central Massachusetts,93,4,79.75,2
1258,The Boston Foundation,96,4,90.57,4
1259,United Way of Greater Fall River,89,3,78.52,2
1260,Concord Museum,85,3,70.28,2
1261,Thompson Island Education Center,96,4,87.27,3
1262,United Way of Tri County,100,4,80.31,3
1263,United Way of Greater New Bedford,93,4,92.5,4
1264,The Institute of Contemporary Art,82,3,96.53,4
1265,Isabella Stewart Gardner Museum,89,3,87.17,3
1266,Jewish Community Relations Council,100,4,80.09,3
1267,Jewish Big Brothers Big Sisters of Greater Boston,100,4,62.25,1
1268,Jewish Vocational Service of Boston,100,4,88.22,3
1269,Jewish Federation of Central Massachusetts,89,3,92.9,4
1270,Boys & Girls Club of Lawrence,85,3,86.44,3
1271,Boys & Girls Club of Greater Lowell,85,3,84.15,3
1272,WGBH Boston,96,4,90.71,4
1273,Nantucket Atheneum,89,3,84.08,3
1274,Marine Biological Laboratory,85,3,87.66,3
1275,Massachusetts Audubon Society,97,4,90.75,4
1276,Massachusetts Horticultural Society,96,4,76.52,2
1277,Boston Rescue Mission,96,4,90.4,4
1278,National Braille Press,93,4,82.35,3
1279,Rise for Animals,100,4,86.15,3
1280,New England Historic Genealogical Society and American Ancestors,100,4,86.32,3
1281,Native Plant Trust,85,3,84.5,3
1282,United Way of Hampshire County,92,4,79.91,2
1283,Old Dartmouth Historical Society/New Bedford Whaling Museum,97,4,96.16,4
1284,South Boston Neighborhood House,100,4,81.81,3
1285,Berkshire United Way,100,4,76.78,2
1286,Boston Athenæum,93,4,84.81,3
1287,Interfaith Social Services,100,4,88.02,3
1288,Boys and Girls Club of Greater Salem,82,3,65.7,1
1289,Historic New England,89,3,92.84,4
1290,The West End House Boys & Girls Clubs of Allston-Brighton,100,4,94.05,4
1291,Woods Hole Oceanographic Institution,96,4,85.0,3
1292,Boys & Girls Club of Worcester,85,3,90.87,4
1293,EcoTarium,89,3,84.05,3
1294,YMCA of Central Massachusetts,89,3,95.0,4
1295,The Carroll Center for the Blind,100,4,77.51,2
1296,Morgan Memorial Goodwill Industries,97,4,83.92,3
1297,The Massachusetts Historical Society,100,4,84.92,3
1298,American Institute for Economic Research,100,4,68.83,1
1299,Girls Inc. of Worcester,100,4,91.8,4
1300,Fruitlands Museum,67,1,81.98,3
1301,Handel and Haydn Society,96,4,77.52,2
1302,Junior Achievement of Northern New England,100,4,76.9,2
1303,Jewish Federation of the Berkshires,89,3,82.87,3
1304,Cape Ann Museum,93,4,94.65,4
1305,United Way of Pioneer Valley,93,4,76.42,2
1306,Martha's Vineyard Museum,100,4,72.5,2
1307,Longyear Museum,86,3,92.81,4
1308,Joslin Diabetes Center,92,4,79.04,2
1309,Provincetown Art Association and Museum,82,3,72.0,2
1310,The Francis Ouimet Scholarship Fund,96,4,88.87,3
1311,Williamstown Theatre Festival,97,4,90.72,4
1312,Historic Deerfield,97,4,89.4,3
1313,Dana-Farber Cancer Institute,93,4,95.0,4
1314,The Cape and Islands United Way,82,3,71.34,2
1315,Hancock Shaker Village,89,3,74.62,2
1316,Theatre Workshop of Nantucket,89,3,80.09,3
1317,Boston Ballet,93,4,84.59,3
1318,United Way of Massachusetts Bay and Merrimack Valley,100,4,84.89,3
1319,Boys & Girls Clubs of MetroWest,100,4,83.61,3
1320,CatholicTV,77,2,86.07,3
1321,Teen Challenge New England & New Jersey,93,4,91.19,4
1322,Museum of African American History,58,1,74.77,2
1323,"RESIST, INC.",89,3,83.75,3
1324,Artists Association of Nantucket,89,3,70.16,2
1325,Boston Lyric Opera,93,4,86.53,3
1326,Bridge Over Troubled Waters,85,3,91.94,4
1327,Hitchcock Center,89,3,84.77,3
1328,National Consumer Law Center,97,4,89.79,3
1329,Council of Social Concern,89,3,80.67,3
1330,USS Constitution Museum,93,4,92.67,4
1331,Pine Street Inn,97,4,87.24,3
1332,Boston Baroque,85,3,57.72,1
1333,Union of Concerned Scientists,97,4,91.61,4
1334,Rosie's Place,93,4,85.43,3
1335,New England Foundation for the Arts,89,3,91.96,4
1336,Center for Coastal Studies,100,4,88.04,3
1337,Harvard Hillel,89,3,78.9,2
1338,The Boston House,100,4,86.78,3
1339,Samaritans,100,4,85.48,3
1340,Abby's House,100,4,86.3,3
1341,New Bedford Symphony Orchestra,85,3,87.08,3
1342,GLBTQ Legal Advocates & Defenders (GLAD),97,4,88.01,3
1343,Merrimack Repertory Theatre,85,3,88.48,3
1344,Shakespeare & Company,85,3,83.48,3
1345,The Mount,86,3,89.26,3
1346,Sociedad Latina,93,4,92.49,4
1347,Boston Philharmonic Orchestra,89,3,73.29,2
1348,Planned Parenthood League of Massachusetts,100,4,89.33,3
1349,Sea Education Association,100,4,82.29,3
1350,National Yiddish Book Center,97,4,81.67,3
1351,The Greater Boston Food Bank,100,4,85.29,3
1352,Jewish Family Service of Metrowest,96,4,99.68,4
1353,Wellspring House,89,3,82.48,3
1354,REACH Beyond Domestic Violence,89,3,79.59,2
1355,Peace Development Fund,96,4,97.5,4
1356,Discovery Museum,100,4,85.8,3
1357,The Food Bank of Western Massachusetts,100,4,91.53,4
1358,Lazarus House,96,4,83.05,3
1359,The Genesis Foundation for Children,97,4,52.3,0
1360,Facing History and Ourselves,100,4,86.31,3
1361,The Parenting Journey,89,3,76.92,2
1362,Northampton Survival Center,100,4,85.73,3
1363,Boston Neighborhood Network,81,3,95.25,4
1364,More Than Words,93,4,92.27,4
1365,Freelance Players Inc DBA Urban Improve,89,3,83.84,3
1366,Boston Youth Symphony Orchestras,89,3,88.3,3
1367,Grassroots International,90,4,93.74,4
1368,Center for Public Interest Research,70,2,82.66,3
1369,Lower Cape Outreach Council,81,3,91.24,4
1370,Free Software Foundation,100,4,100.0,4
1371,New England Wildlife Center,93,4,93.4,4
1372,Project Bread,90,4,72.54,2
1373,Buzzards Bay Coalition,93,4,89.56,3
1374,Habitat for Humanity Boston Inc,96,4,86.94,3
1375,Woodwell Climate Research Center,100,4,92.98,4
1376,New England Center and Home for Veterans,93,4,72.21,2
1377,Thompson Island Outward Bound Education Center (TIOBEC),96,4,87.27,3
1378,Oldways Preservation Trust,85,3,82.5,3
1379,Joy of Music Program,100,4,83.16,3
1380,Rian Immigrant Center,100,4,89.71,3
1381,Lloyd Center for the Environment,89,3,81.83,3
1382,Health Equity International,97,4,89.83,3
1383,National Brain Tumor Society,100,4,91.64,4
1384,Worcester County Food Bank,96,4,87.82,3
1385,The Steppingstone Foundation,100,4,74.44,2
1386,My Brother's Keeper,93,4,90.88,4
1387,The Center for Teen Empowerment,96,4,89.91,3
1388,Rosenberg Fund for Children,97,4,89.2,3
1389,Straight Ahead Ministries,100,4,84.9,3
1390,MASS MoCA,71,2,94.84,4
1391,Habitat for Humanity of Greater Lowell,100,4,91.92,4
1392,Zoo New England,93,4,99.11,4
1393,WorldTeach,100,4,85.0,3
1394,Artists For Humanity,96,4,79.41,2
1395,Bikes Not Bombs,92,4,77.8,2
1396,Cape Cod Commercial Fishermen's Alliance,89,3,89.67,3
1397,Lovelane Special Needs Horseback Riding Program,100,4,78.96,2
1398,Berkshire Humane Society,100,4,79.99,2
1399,Peabody Essex Museum,85,3,93.27,4
1400,Mother Caroline Academy & Education Center,85,3,79.5,2
1401,BELL (Building Educated Leaders for Life),86,3,85.5,3
1402,"Boy Scouts of America, The Spirit of Adventure Council",89,3,92.38,4
1403,Second Nature,93,4,89.17,3
1404,The Marion Institute,85,3,96.95,4
1405,FRAXA Research Foundation,96,4,90.0,4
1406,National Network of Abortion Funds,89,3,74.18,2
1407,Center for Collaborative Education,92,4,89.06,3
1408,Brain Aneurysm Foundation,88,3,83.41,3
1409,Nantucket Community Sailing,100,4,89.22,3
1410,Beverly Bootstraps,96,4,86.3,3
1411,Center for Women & Enterprise,93,4,73.84,2
1412,Citizen Schools,92,4,70.84,2
1413,Jumpstart,93,4,82.14,3
1414,The Food Project,92,4,74.12,2
1415,Barrington Stage Company,89,3,92.57,4
1416,Angiogenesis Foundation,93,4,80.0,3
1417,Foundation for MetroWest,93,4,76.62,2
1418,Boston Harbor Now,96,4,86.4,3
1419,MassINC,89,3,86.57,3
1420,American Macular Degeneration Foundation,50,0,82.28,3
1421,Kids' Food Basket,96,4,87.31,3
1422,Blandford Nature Center,85,3,91.51,4
1423,Zaman International,96,4,92.5,4
1424,United Way for Southeastern Michigan,97,4,95.0,4
1425,Michigan Roundtable for Diversity and Inclusion,85,3,70.0,2
1426,Heal Africa USA,73,2,95.0,4
1427,Michigan Community Resources,89,3,78.35,2
1428,Partners Relief and Development,93,4,89.05,3
1429,Audio Scripture Ministries,100,4,96.87,4
1430,Open Doors Kalamazoo,100,4,94.49,4
1431,Community Action House,88,3,82.8,3
1432,Crooked Tree Arts Center,89,3,75.17,2
1433,Senior Neighbors,100,4,82.92,3
1434,Impression 5 Science Center,93,4,88.94,3
1435,ACLU of Michigan Foundation,89,3,76.87,2
1436,Plymouth Community United Way,89,3,95.78,4
1437,Community Foundation for Northeast Michigan,92,4,82.03,3
1438,The Greening of Detroit,78,2,78.68,2
1439,Helping Hand for Relief and Development,100,4,97.5,4
1440,Eastern Market Corporation,89,3,95.32,4
1441,Desiring God Ministries,63,1,89.72,3
1442,Forest Stewardship Council - U.S.,96,4,78.84,2
1443,Scholarship America,100,4,82.76,3
1444,Minneapolis Parks Foundation,85,3,90.0,4
1445,Minnesotans Military Appreciation Fund,51,0,80.68,3
1446,Los Cabos Children's Foundation,100,4,88.25,3
1447,Bluegreen Alliance Foundation,89,3,99.14,4
1448,Pulse,85,3,84.57,3
1449,The Wildcat Sanctuary,93,4,99.88,4
1450,Timber Bay,93,4,87.02,3
1451,Hastings Family Service,96,4,87.94,3
1452,United Way of Steele County,92,4,90.0,4
1453,Minnesota Center for Environmental Advocacy,92,4,94.41,4
1454,Second Harvest Heartland,96,4,83.23,3
1455,Tri-County Humane Society,89,3,86.12,3
1456,American Composers Forum,93,4,76.07,2
1457,MinnPost,74,2,74.9,2
1458,Colon Cancer Coalition ,100,4,85.0,3
1459,Big Brothers Big Sisters of the Greater Twin Cities,96,4,70.92,2
1460,re:power fund,93,4,84.21,3
1461,Nonviolent Peaceforce,92,4,73.55,2
1462,MN Community Measurement,89,3,78.71,2
1463,Alight (formerly American Refugee Committee),100,4,95.0,4
1464,"TreeHouse, Inc.",89,3,81.91,3
1465,The Advocates for Human Rights,100,4,95.0,4
1466,Starkey Hearing Foundation,90,4,89.0,3
1467,Global Volunteers,100,4,84.15,3
1468,Headwaters Foundation for Social Justice,96,4,84.68,3
1469,Twin Cities Habitat for Humanity Inc,100,4,92.5,4
1470,The Center for Victims of Torture,97,4,81.18,3
1471,Sharing and Caring Hands,51,0,95.35,4
1472,Initiative Foundation,89,3,87.01,3
1473,West Central Initiative,93,4,83.62,3
1474,Southern Minnesota Initiative Foundation,89,3,98.72,4
1475,Second Harvest Northern Lakes Food Bank,96,4,96.74,4
1476,Interfaith Outreach & Community Partners,100,4,94.19,4
1477,Open Your Heart to the Hungry and Homeless,96,4,87.5,3
1478,Institute for Agriculture and Trade Policy,92,4,87.2,3
1479,Global Health Ministries,100,4,91.88,4
1480,SteppingStone Theatre,75,2,76.11,2
1481,Urban Ventures Leadership Foundation,100,4,78.15,2
1482,Wildlife Forever,92,4,75.0,2
1483,Solid Ground,96,4,97.27,4
1484,Friends of the Hennepin County Library,96,4,89.75,3
1485,Page Education Foundation,97,4,91.15,4
1486,Center of the American Experiment,74,2,95.0,4
1487,MATTER,93,4,97.5,4
1488,Haiti Outreach,100,4,76.44,2
1489,One Heartland,96,4,72.5,2
1490,University of Minnesota Alumni Association,89,3,81.83,3
1491,Animal Humane Society,100,4,73.87,2
1492,"Boy Scouts of America, Central Minnesota Council",89,3,91.74,4
1493,Merrick Community Services,93,4,86.12,3
1494,Minneapolis Jewish Federation,96,4,88.06,3
1495,Minnesota Orchestra,89,3,92.5,4
1496,St. Paul Jewish Federation,96,4,82.4,3
1497,Amherst H. Wilder Foundation,96,4,82.41,3
1498,Girl Scouts of Minnesota and Wisconsin River Valleys,100,4,82.9,3
1499,The Minneapolis Institute of Arts,89,3,91.52,4
1500,"Neighborhood House, St. Paul",92,4,87.66,3
1501,Keystone Community Services,96,4,78.81,2
1502,Walker Art Center,86,3,84.7,3
1503,United Way of Olmsted County,96,4,83.21,3
1504,Metro Hope Ministries,81,3,81.98,3
1505,Union Gospel Mission Twin Cities,100,4,78.98,2
1506,Goodwill-Easter Seals Minnesota,89,3,80.12,3
1507,Science Museum of Minnesota,96,4,90.85,4
1508,American Swedish Institute,93,4,90.72,4
1509,Minnesota Historical Society,93,4,84.22,3
1510,Catholic Charities of Southern Minnesota,100,4,91.07,4
1511,Minnesota Museum of American Art,93,4,82.1,3
1512,Mississippi Center for Justice,89,3,88.51,3
1513,Catch-A-Dream Foundation,100,4,76.15,2
1514,CREATE Foundation,96,4,91.7,4
1515,Diabetes Foundation of Mississippi,92,4,93.23,4
1516,The Bulldog Club,62,1,95.0,4
1517,Bible Education & Missionary Service,47,0,81.03,3
1518,CEC/Seabee Historical Foundation,96,4,47.62,0
1519,"Boy Scouts of America, Andrew Jackson Council",81,3,87.34,3
1520,"Boy Scouts of America, Pine Burr Area Council",70,2,95.0,4
1521,"United Way of the Capital Area, Mississippi",89,3,66.2,1
1522,French Camp Academy,100,4,89.85,3
1523,United Way of West Central Mississippi,77,2,80.58,3
1524,Boys & Girls Clubs of Central Mississippi,85,3,81.26,3
1525,Palmer Home for Children,89,3,79.87,2
1526,Gateway Rescue Mission,89,3,72.87,2
1527,"United Way for Jackson & George Counties, MS",96,4,91.4,4
1528,United Way of Northeast Mississippi,97,4,83.51,3
1529,United Way of Southeast Mississippi,92,4,78.09,2
1530,Operation Shoestring,100,4,94.14,4
1531,Ole Miss Athletics Foundation,96,4,82.03,3
1532,Boys & Girls Clubs of the Gulf Coast,85,3,89.2,3
1533,African Bible Colleges,93,4,82.05,3
1534,American Family Association,96,4,87.5,3
1535,The Mustard Seed,81,3,97.56,4
1536,Stewpot Community Services,93,4,90.0,4
1537,Mississippi Food Network,92,4,100.0,4
1538,Make-A-Wish Mississippi,97,4,52.92,0
1539,Christian Services,97,4,87.5,3
1540,Habitat for HumanityMetro Jackson,97,4,83.94,3
1541,Institute of Southern Jewish Life,89,3,75.65,2
1542,Cary Christian Center,96,4,78.5,2
1543,Baptist Medical & Dental Mission International,89,3,82.5,3
1544,United Way of South Mississippi,100,4,76.28,2
1545,Mississippi Children's Museum,100,4,91.82,4
1546,Hope Enterprise Corporation,96,4,84.65,3
1547,Boys Girls Clubs of North Mississippi,70,2,92.34,4
1548,H.E.R.O.E.S. Care,100,4,92.5,4
1549,Camp Fire National Headquarters,100,4,70.67,2
1550,"National Council of the United States, Society of St. Vincent de Paul",85,3,88.84,3
1551,Meds & Food for Kids,100,4,91.71,4
1552,International Psoriasis Council,77,2,89.44,3
1553,Pujols Family Foundation,93,4,86.04,3
1554,Fight Colorectal Cancer,100,4,98.48,4
1555,"College Bound, St. Louis",100,4,82.8,3
1556,DreamChaser PMU Rescue and Rehabilitation,85,3,53.67,0
1557,Head for the Cure,81,3,71.54,2
1558,The Mission Continues,100,4,94.7,4
1559,Circle Of Concern,100,4,87.53,3
1560,Optimist International Foundation,96,4,87.33,3
1561,Kilo Diabetes & Vascular Research Foundation,63,1,93.57,4
1562,Special Olympics Missouri,100,4,85.22,3
1563,Shelterwood ,85,3,93.76,4
1564,MidwayUSA Foundation,97,4,100.0,4
1565,Crisis Aid International,100,4,98.99,4
1566,Angus Foundation,73,2,60.44,1
1567,The National Children's Cancer Society (NCCS),93,4,78.71,2
1568,Child Evangelism Fellowship,96,4,71.71,2
1569,Junior Achievement of Greater St. Louis,93,4,84.82,3
1570,American Youth Foundation,100,4,89.07,3
1571,Guardian Angel Settlement Association,89,3,92.5,4
1572,Humane Society of Missouri,93,4,90.92,4
1573,Jewish Federation of St. Louis,100,4,88.57,3
1574,MERS Missouri Goodwill Industries,97,4,87.61,3
1575,"Boy Scouts of America, Greater St. Louis Area Council",81,3,94.85,4
1576,Society of St. Vincent De Paul Archdiocesan Council of St. Louis,89,3,95.0,4
1577,Wyman Center,100,4,84.09,3
1578,Catholic Charities of St. Louis,96,4,95.0,4
1579,Sherwood Forest Camp,96,4,90.0,4
1580,Missouri History Museum,96,4,97.5,4
1581,Central Institute for the Deaf,92,4,91.1,4
1582,Central Missouri Humane Society,77,2,86.87,3
1583,Missouri Botanical Garden,97,4,80.52,3
1584,Saint Louis Symphony Orchestra,88,3,88.49,3
1585,Big Brothers Big Sisters of Eastern Missouri,92,4,84.38,3
1586,Nine Network of Public Media,100,4,82.53,3
1587,Southside Early Childhood Center,100,4,85.0,3
1588,Animal Protective Association of Missouri,100,4,95.47,4
1589,United Way of Greater St. Louis,96,4,95.0,4
1590,Heart of Missouri United Way,93,4,89.9,3
1591,Jewish Family & Children's Service of St. Louis,100,4,91.8,4
1592,Arts and Education Council,100,4,70.81,2
1593,Opera Theatre of Saint Louis,92,4,91.47,4
1594,Legal Aid of Western Missouri,89,3,87.23,3
1595,Sunshine Ministries,82,3,88.8,3
1596,Wings of Hope,100,4,95.0,4
1597,Teen Challenge International of Mid-America,66,1,84.83,3
1598,University City Children's Center,88,3,80.5,3
1599,Consortium for Graduate Study in Management,92,4,79.92,2
1600,Casting for Recovery,93,4,99.6,4
1601,Boone and Crockett Club,85,3,92.45,4
1602,Backcountry Hunters & Anglers,92,4,92.5,4
1603,Warriors & Quiet Waters Foundation,92,4,89.21,3
1604,Billings Symphony Society,74,2,86.29,3
1605,Montana Environmental Information Center,74,2,80.15,3
1606,Heart of the Valley Animal Shelter,100,4,84.94,3
1607,Special K Ranch,92,4,91.9,4
1608,Helena Food Share,96,4,88.16,3
1609,The Billings Food Bank,93,4,89.05,3
1610,Montana Wilderness Association,97,4,93.17,4
1611,Central Asia Institute,96,4,73.9,2
1612,Indian Law Resource Center,97,4,88.08,3
1613,National Forest Foundation,96,4,87.04,3
1614,Glacier National Park Conservancy,96,4,86.04,3
1615,Headwaters Economics,78,2,92.08,4
1616,Polar Bears International,100,4,89.84,3
1617,United Way of Yellowstone County,96,4,95.0,4
1618,United Way of Missoula County,92,4,76.0,2
1619,United Way of Cascade County,96,4,67.51,1
1620,Northwest Montana United Way,78,2,89.49,3
1621,Boys & Girls Clubs of Yellowstone County,85,3,93.74,4
1622,"Boy Scouts of America, Montana Council",93,4,97.5,4
1623,Special Olympics Montana,97,4,89.42,3
1624,Northern Plains Resource Council,92,4,100.0,4
1625,Watson Children's Shelter,89,3,94.2,4
1626,Greater Gallatin United Way,96,4,75.0,2
1627,"Haven, Montana",96,4,85.77,3
1628,Property and Environment Research Center,93,4,82.83,3
1629,Flathead Food Bank,86,3,90.7,4
1630,Greater Yellowstone Coalition,100,4,92.82,4
1631,Missoula Food Bank,96,4,95.0,4
1632,Montana Food Bank Network,100,4,95.0,4
1633,Rocky Mountain Elk Foundation,96,4,95.0,4
1634,Boone and Crockett Club,85,3,92.45,4
1635,American Civil Liberties Union of Montana Foundation,85,3,95.24,4
1636,Montana Community Foundation,92,4,67.59,1
1637,McLaughlin Research Institute for Biomedical Sciences,89,3,67.75,1
1638,Camp Mak-A-Dream,89,3,94.68,4
1639,Missoula Art Museum,70,2,71.99,2
1640,National Institute on Money in State Politics,96,4,85.0,3
1641,Rebecca Farm,32,0,88.31,3
1642,Orphan's Lifeline of Hope International,81,3,86.17,3
1643,Yellowstone to Yukon Conservation Initiative,100,4,97.44,4
1644,C.M. Russell Museum,93,4,74.2,2
1645,Great Falls Rescue Mission,89,3,91.56,4
1646,Yellowstone Art Museum ,92,4,80.51,3
1647,United Way of the Lewis and Clark Area,92,4,80.0,3
1648,Center for People in Need,100,4,82.5,3
1649,Heartland Hope Mission,96,4,97.5,4
1650,Wounded Warriors Family Support,100,4,89.51,3
1651,Community Health Charities of Nebraska,96,4,75.0,2
1652,The Arbor Day Foundation,96,4,77.07,2
1653,Nebraska Humanities Council,89,3,72.96,2
1654,Northstar Foundation,89,3,94.27,4
1655,Orphan Grain Train,100,4,100.0,4
1656,Father Flanagans Boys Home Group Return,97,4,78.97,2
1657,Omaha Habitat for Humanity,100,4,88.11,3
1658,Stephen Center,85,3,95.0,4
1659,Foundation for Lincoln Public Schools,74,2,96.43,4
1660,Father Flanagan's Trust Fund,97,4,78.97,2
1661,Matt Talbot Kitchen & Outreach,100,4,88.41,3
1662,Hfho Real Estate Holdings Inc.,100,4,88.11,3
1663,The Omaha Home for Boys,77,2,76.11,2
1664,YMCA of Greater Omaha,96,4,95.0,4
1665,"United Way of the Midlands, Nebraska",100,4,75.0,2
1666,Boys Town,97,4,78.97,2
1667,Catholic Charities of the Archdiocese of Omaha,89,3,77.82,2
1668,Capital Humane Society,93,4,88.63,3
1669,United Way of Lincoln and Lancaster County,100,4,77.86,2
1670,People's City Mission,100,4,81.49,3
1671,Nebraska Humane Society,93,4,93.34,4
1672,Urban League of Nebraska,89,3,88.82,3
1673,Joslyn Art Museum,89,3,96.21,4
1674,Jewish Federation of Omaha,100,4,100.0,4
1675,Omaha Community Playhouse,85,3,75.22,2
1676,Back to the Bible,78,2,74.5,2
1677,"Christian Record Services, Inc.",97,4,77.85,2
1678,"Open Door Mission, Omaha",96,4,87.31,3
1679,Big Brothers Big Sisters of the Midlands,96,4,89.11,3
1680,Boys & Girls Clubs of the Midlands,82,3,95.19,4
1681,Heartland United Way,96,4,89.82,3
1682,Omaha's Henry Doorly Zoo,82,3,100.0,4
1683,Nebraska Lutheran Outdoor Ministries,100,4,88.38,3
1684,Special Olympics Nebraska,96,4,82.1,3
1685,"Cedars Youth Services, Inc.",100,4,89.1,3
1686,Girls Inc. of Omaha,100,4,98.94,4
1687,Youth Emergency Services,93,4,84.9,3
1688,Together Omaha,89,3,99.82,4
1689,Siena Francis House,100,4,95.25,4
1690,Museum of Nebraska Art,70,2,82.09,3
1691,Friendship Home of Lincoln,100,4,96.3,4
1692,Food Bank for the Heartland,100,4,90.95,4
1693,Food Bank of Lincoln,100,4,87.5,3
1694,Bemis Center for Contemporary Arts,74,2,88.55,3
1695,Abide,89,3,59.54,1
1696,Lauritzen Gardens,89,3,72.21,2
1697,Make-A-Wish Foundation of Nebraska,97,4,88.8,3
1698,Crossroads Center,50,0,92.15,4
1699,The Praise Network,67,1,90.13,4
1700,Lincoln Children's Museum,89,3,70.71,2
1701,Grand Island Public Schools Foundation,92,4,90.0,4
1702,BLUEBARN Theatre,77,2,88.17,3
1703,Catholic Social Services of Southern Nebraska,85,3,82.5,3
1704,Ronald McDonald House Charities in Omaha,100,4,83.45,3
1705,Nebraska AIDS Project,84,3,90.0,4
1706,Project Harmony,89,3,100.0,4
1707,City Impact,85,3,77.56,2
1708,Hope Center for Kids,93,4,87.99,3
1709,Omaha Performing Arts,89,3,95.0,4
